Column 1,Column 2
13th EFORT Congress,CONGRÈS - SYMPOSIUM
13th EFORT Congress 2012,CONGRÈS - SYMPOSIUM
13ème Cours Francophone Supérieur,CONGRÈS - SYMPOSIUM
13ème Cours francophone Supérieur sur le cancer du sein,CONGRÈS - SYMPOSIUM
13èmes Journées Interactives de Réalités Pédiatriques,CONGRÈS - SYMPOSIUM
13èmes Journées Nationales d'Infectiologie (JNI),CONGRÈS - SYMPOSIUM
14th EFORT Congress,CONGRÈS - SYMPOSIUM
14th EFORT Congress 2013,CONGRÈS - SYMPOSIUM
14ÈME JOURNEE DE L'APECO,CONGRÈS - SYMPOSIUM
15èmes Congrès mondial d'endocrinologie gynécologique,CONGRÈS - SYMPOSIUM
15èmes Journées Lyonnaises de Chirurgie du genou,CONGRÈS - SYMPOSIUM
16ème Conférence Nationale Des plaies et des cicatrisations,CONGRÈS - SYMPOSIUM
16ème Conférence Nationale des Plaies et Cicatrisations,CONGRÈS - SYMPOSIUM
16èmes Journées Chir.Dig CHU Bordeaux,CONGRÈS - SYMPOSIUM
16èmes Rencontres de Pédiatrie Pratique,CONGRÈS - SYMPOSIUM
17th Annual Meeting and Education Day of the Society for Neuro Oncology 2012,CONGRÈS - SYMPOSIUM
17th CTOS Annual Meeting,CONGRÈS - SYMPOSIUM
17ème RPP,CONGRÈS - SYMPOSIUM
17èmes Journées de médecine foetale,CONGRÈS - SYMPOSIUM
18ème Journées Francophones d'ENMG,CONGRÈS - SYMPOSIUM
18ème journées de médecine foetale,CONGRÈS - SYMPOSIUM
18èmes Universités de Neurologie,CONGRÈS - SYMPOSIUM
1996/09/06-RECHERCHE,COLLABORATION SCIENTIFIQUE
1997/03/27-RECHERCHE,COLLABORATION SCIENTIFIQUE
19e congrès de la SFAP,CONGRÈS - SYMPOSIUM
1ST INTERNATIONAL WINTER HIP,CONGRÈS - SYMPOSIUM
1er journée nationale sur la Pubalgie CONGRES,CONGRÈS - SYMPOSIUM
1st INTERNATIONAL WINTER HIP COURSE,CONGRÈS - SYMPOSIUM
1st International Winter Hip Course,CONGRÈS - SYMPOSIUM
1ère Rencontre nationale des IDE référents Plaies et Cica  Montpellier 30 mars,CONGRÈS - SYMPOSIUM
1ère journée Vidéocaa Paris 5 oct. 12,CONGRÈS - SYMPOSIUM
1ére pilule contraceptive,CONGRÈS - SYMPOSIUM
20 ANS ACT,CONGRÈS - SYMPOSIUM
20 ans de Cardiologie Interventionnelle,CONGRÈS - SYMPOSIUM
2002/05/23-RECHERCHE,COLLABORATION SCIENTIFIQUE
2006/03/31-RECHERCHE,COLLABORATION SCIENTIFIQUE
2006/07/13-RECHERCHE,COLLABORATION SCIENTIFIQUE
2011/01/12-RECHERCHE,COLLABORATION SCIENTIFIQUE
2011/02/25-RECHERCHE,COLLABORATION SCIENTIFIQUE
2011/03/07-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2011/03/23-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2011/07/07-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2011/08/02-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2011/09/04-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012 AAOS Annual Meeting,CONGRÈS - SYMPOSIUM
2012/01/15-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/01/21-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/01/31-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/03/13-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/03/30-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/04/18-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/05/11-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/06/06-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/06/07-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/06/11-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/07/11-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/07/18-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/08/12-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/08/13-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/09/07-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/10/12-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/10/24-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/10/26-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2012/11/25-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2013 AAOS Annual Meeting,CONGRÈS - SYMPOSIUM
2013 AAOS Annual Meeting March 19-23 Chicago,CONGRÈS - SYMPOSIUM
2013/01/07-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2013/01/30-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
2013/08/14-COLLABORATION SCIENTIFIQUE,COLLABORATION SCIENTIFIQUE
22nd INTERNATIONAL CONGRESS ON THROMBOSIS 2012,CONGRÈS - SYMPOSIUM
22ème Salon de Gynécologie Obstétrique Pratique,CONGRÈS - SYMPOSIUM
24th Congress of the european society for surgery of the shoulder and the elbow,CONGRÈS - SYMPOSIUM
24èmes Journée imagerie Pitié Salpétrière,CONGRÈS - SYMPOSIUM
25/01/2017,DIVERS
25/05/2017,DIVERS
25ème Congrès Français de Rhumatologie CONGRES,CONGRÈS - SYMPOSIUM
26èmes journées INFOGYN,CONGRÈS - SYMPOSIUM
27ème congrès de médecine physique et de réadaptation (SOFMER),CONGRÈS - SYMPOSIUM
28th EUROPEAN ASSOCIATION OF UROLOGY CONGRESS (EAU 2013),CONGRÈS - SYMPOSIUM
"29EME JOURNEES DE L'UNAIBODE, 2325 MAI 2012, METZ FRANCE",CONGRÈS - SYMPOSIUM
29ème Ateliers d'échographie de la SIMS CONGRES,CONGRÈS - SYMPOSIUM
2e congres international francophone des soins paliatifs CONGRES,CONGRÈS - SYMPOSIUM
2eme congrès international francophone de soins palliatifs MONTREAL,CONGRÈS - SYMPOSIUM
2emes Rencontres de l'AJCTCV - 14-16 Sept 2012,CONGRÈS - SYMPOSIUM
2mes Rencontres de l'AJCTCV - 14-16 Sept 2012,CONGRÈS - SYMPOSIUM
2nd Intl Meeting The Meniscus,CONGRÈS - SYMPOSIUM
2nd Left Atrial Appendage Occlusion Summit 01062012,CONGRÈS - SYMPOSIUM
2nd Research Forum,CONGRÈS - SYMPOSIUM
2nd Research Forum-19 et 20 nov.12,CONGRÈS - SYMPOSIUM
"2nd SICOT Educational Day, combined 33rd SICOT & 17th PAOA",CONGRÈS - SYMPOSIUM
2ÈME JOURNÉE D’EDUCATION THÉRAPEUTIQUE DIABÈTE,CONGRÈS - SYMPOSIUM
2ème Congrès francais Endolaparoscopie - Paris,CONGRÈS - SYMPOSIUM
2ème Edition de la Journée Midi-Pyrénéenne Cicatrisation - 5 avril 2012,CONGRÈS - SYMPOSIUM
2ème Edition de la Journée MidiPyrénéenne Cicatrisation  5 avril 2012,CONGRÈS - SYMPOSIUM
2ème Edition des Journées Aquitaine Cicatrisation,CONGRÈS - SYMPOSIUM
2èmes Rencontres de l'AJCTCV - 14-16  Sept 2012,CONGRÈS - SYMPOSIUM
30 ème journée de Traumatologie du sport de la Pitié Salpêtrière CONGRES,CONGRÈS - SYMPOSIUM
30ème Journée de Traumatologie du Sport CONGRES,CONGRÈS - SYMPOSIUM
32 èmes Journées d'Orthopédie,CONGRÈS - SYMPOSIUM
32ème Congrès National de la SFETB,CONGRÈS - SYMPOSIUM
32ème Journée Nationale Multidisciplinaire sur le SAOS CONGRES_NATIONAL,CONGRÈS - SYMPOSIUM
32èmes Journées Caribéennes d'Orthopédie,CONGRÈS - SYMPOSIUM
33 JOURNEES CARIBEENNES ORTHO,CONGRÈS - SYMPOSIUM
33rd International Symposium on Intensive Care and Emergency,CONGRÈS - SYMPOSIUM
33è JOURNEES CARIBENNES D'ORTHOPEDIES,CONGRÈS - SYMPOSIUM
33ème Congrès de la SFETB qui se déroulera les 12-13 et 14 juin 2013,CONGRÈS - SYMPOSIUM
33èmes Journées Caribéennes d'Orthopédie,CONGRÈS - SYMPOSIUM
34 èmes Journées de la Sté Française de Sénologie,CONGRÈS - SYMPOSIUM
34ème journée de la Société Française de sénologie et de pathologie mamaire,CONGRÈS - SYMPOSIUM
35ÈMES JOURNÉES NATIONALES D'ETUDES SUR LA STÉRILISATION,CONGRÈS - SYMPOSIUM
35ème Congrès de la Société Française de Colposcopie et de Pathologie cervico-vaginale,CONGRÈS - SYMPOSIUM
35ème congrès de la SIFUD-PP,CONGRÈS - SYMPOSIUM
36ème congrès de la Société Française de Colposcopie et de Pathologie Cervico vaginale,CONGRÈS - SYMPOSIUM
36ème journées nationales du C.N.G.O.F,CONGRÈS - SYMPOSIUM
36èmes Journées Nationales du Collège National des Gynécologuest et obstréticiens Français,CONGRÈS - SYMPOSIUM
39e congrès Neurochirurgie,CONGRÈS - SYMPOSIUM
3mes RDV Ophtalmologiques du Languedoc Roussillon,CONGRÈS - SYMPOSIUM
3ème Cours Francophone supérieur sur le cancer du sein - Recommendations St Paul de Vence 2013,FORMATION
3ème congrès du Groupe d'Etude sur la ménopause et le vieillissement hormonal (GEMVI),CONGRÈS - SYMPOSIUM
3ème conngrès du Groupe d'Etude sur la ménopause et le vieillissement hormonal (GEMVI),CONGRÈS - SYMPOSIUM
3èmes Assises de Gynécologie & Obstétrique,CONGRÈS - SYMPOSIUM
3èmes Journées SEXOGYN,CONGRÈS - SYMPOSIUM
3èmes RDV Ophtalmologiques du Languedoc Roussillon,CONGRÈS - SYMPOSIUM
40° CONGRÈS ANNUEL DE LA SOCIÉTÉ FRANÇAISE DE NEURORADIOLOGIE,CONGRÈS - SYMPOSIUM
40ème SRLF,CONGRÈS - SYMPOSIUM
43èmes Journées de l'Hôpital Saint Antoine,CONGRÈS - SYMPOSIUM
45èmes JEPU,CONGRÈS - SYMPOSIUM
46e CONGRES SOO - ORATEUR,ORATEUR/FORMATEUR
46è CONGRES SOO,CONGRÈS - SYMPOSIUM
46ème réunion de la SOO,CONGRÈS - SYMPOSIUM
"48EME CONGRES DE LA SFSCMF, VERSAILLES FRANCE",CONGRÈS - SYMPOSIUM
"4EME RENCONTRES DE L'IMM, INSTITUT MONTPELLIERAIN DE LA MAIN, 28/09/2012 PALAVAS LES FLOTS FRANCE",CONGRÈS - SYMPOSIUM
4th International Congr on Multiple System Atrophy,CONGRÈS - SYMPOSIUM
4th International Foot and ankle mini invasive surgery course,CONGRÈS - SYMPOSIUM
4th SLEEVE CONSENSUS,CONGRÈS - SYMPOSIUM
4th advanced course on knee surgery,CONGRÈS - SYMPOSIUM
4ème Cours Supérieur de Centre Hospitalierirurgie Méniscale et Cartilagineuse,FORMATION
4ème Cours Supérieur de Chirurgie Méniscale et Cartilagineuse,FORMATION
4ème Cours Supérieur de Chirurgie Méniscale et Cartilagineuse 11-12/10/12,FORMATION
50,DIVERS
50% DE L'INSCRIPTION,CONGRÈS - SYMPOSIUM
58 ème Semaine de Rhumatologie CONGRES,CONGRÈS - SYMPOSIUM
5EME FORUM INTERNATIONAL CHIRURGIE ORTHOGNATIQUE 24-25 /02/2012 INTERLAKEN SUISSE,CONGRÈS - SYMPOSIUM
5th International Foot and Ankle Mini Invasive Surgery Course,CONGRÈS - SYMPOSIUM
5ème Rencontres Convictions et Perspectives,CONGRÈS - SYMPOSIUM
5ème Rencontres Franco-Catalane de la SEP,CONGRÈS - SYMPOSIUM
5ème Workshop National sur l'HTAP,CONGRÈS - SYMPOSIUM
5èmes Assises Françaises de Sexologie et de Santé Sexuelle,CONGRÈS - SYMPOSIUM
60èmes Journées Françaises de Radiologie,CONGRÈS - SYMPOSIUM
6ème Workshop HTAP,CONGRÈS - SYMPOSIUM
6ème congrès de la médecine générale france 2012 CONGRES,CONGRÈS - SYMPOSIUM
6èmes Journées Mouvements Anormaux de l'ANLLF,CONGRÈS - SYMPOSIUM
"7 RÉUNIONS POUR MISE EN PLACE DU PROJET PEURS, CROYANCES ET CONSÉQUENCES AU COURS DE LA DOULEUR - PARTICIPATION PROJET PEURS & CROYANCES",CONGRÈS - SYMPOSIUM
7681,DIVERS
7ème Journée Nantaise de la SEP,CONGRÈS - SYMPOSIUM
7èmes Rencontres Convergences Santé Hopital,CONGRÈS - SYMPOSIUM
7èmes journées Premium,CONGRÈS - SYMPOSIUM
8275,DIVERS
8277,DIVERS
8379,DIVERS
8541,DIVERS
8599,DIVERS
8617,DIVERS
8635,DIVERS
8637,DIVERS
8638,DIVERS
8639,DIVERS
8648,DIVERS
8668,DIVERS
8724,DIVERS
8767,DIVERS
8785,DIVERS
8786,DIVERS
8791,DIVERS
87ème SOFCOT,CONGRÈS - SYMPOSIUM
8800,DIVERS
8810,DIVERS
8812,DIVERS
8815,DIVERS
8816,DIVERS
8824,DIVERS
8838,DIVERS
8862,DIVERS
8863,DIVERS
8867,DIVERS
8869,DIVERS
8895,DIVERS
8911,DIVERS
8927,DIVERS
8955,DIVERS
8972,DIVERS
8emes Journées Franco-Israéliennes de cardiologie- Tel-Aviv & Ein Gedi - 15 - 20 avril,CONGRÈS - SYMPOSIUM
8me Journe du GEMO,CONGRÈS - SYMPOSIUM
8th Advanced Course On Shoulder Arthroscopy,CONGRÈS - SYMPOSIUM
8th International Congress On Spondyloarthropathies,CONGRÈS - SYMPOSIUM
8ème Journée de Transplantation Hépatique de Beaujon,CONGRÈS - SYMPOSIUM
8ème Journée du GEMO,CONGRÈS - SYMPOSIUM
8èmes Journées Franco-Israéliennes de cardiologie- Tel-Aviv & Ein Gedi - 15 - 20 avril,CONGRÈS - SYMPOSIUM
9 years of SGA,CONGRÈS - SYMPOSIUM
9emes Journées Choussat - Toulouse - 13 et 14 septembre 2012,CONGRÈS - SYMPOSIUM
9mes Journes Choussat - Toulouse - 13 et 14 septembre 2012,CONGRÈS - SYMPOSIUM
9ème Congrès International de Gynécologie Obstétrique et Reproduction,CONGRÈS - SYMPOSIUM
9ème Rencontres Européennes de l'Hémophilie,CONGRÈS - SYMPOSIUM
9ème congrès de la SCGP  et 8èmes Journées Daniel Dargent,CONGRÈS - SYMPOSIUM
9ème congrès de la SCGP et 8èmes Journées Daniel Dargent,CONGRÈS - SYMPOSIUM
9ème congrès francophone de cancérologie : femmes et cancers,CONGRÈS - SYMPOSIUM
9èmes Journées Choussat - Toulouse - 13 et 14 septembre 2012,CONGRÈS - SYMPOSIUM
9èmes journées annuelles du Groupe Sarcome Français,CONGRÈS - SYMPOSIUM
AACR Washington,CONGRÈS - SYMPOSIUM
AAD,CONGRÈS - SYMPOSIUM
AAHKS,CONGRÈS - SYMPOSIUM
AAHKS Dallas 2-4/11/12,CONGRÈS - SYMPOSIUM
AAO 2012,CONGRÈS - SYMPOSIUM
AAOS,CONGRÈS - SYMPOSIUM
"AAOS 2013, Chicago",CONGRÈS - SYMPOSIUM
AAOS CHICAGO 19-23/03/2013,CONGRÈS - SYMPOSIUM
AAOS CHICAGO 2013,CONGRÈS - SYMPOSIUM
AAOS_2013,CONGRÈS - SYMPOSIUM
AATS ANNUAL MEETING,CONGRÈS - SYMPOSIUM
AATS MISTRAL CONCAVE,CONGRÈS - SYMPOSIUM
AATS San Francisco - 28 avril au 02 mai 2012,CONGRÈS - SYMPOSIUM
ACC / San Francisco,CONGRÈS - SYMPOSIUM
ACC 2013,CONGRÈS - SYMPOSIUM
ACC COURSE 2012,CONGRÈS - SYMPOSIUM
ACHBT,CONGRÈS - SYMPOSIUM
ACR,CONGRÈS - SYMPOSIUM
ACTUALITE EN CHIRURGIE OPHTALMOLOGIQUE ET EN RECHERCHE CLINIQUE DU CHU DE GRENOBLE,COLLABORATION SCIENTIFIQUE
ACTUALITE EN GYNECOLOGIE,CONGRÈS - SYMPOSIUM
ACTUALITES B+L EN ALLERGIE OCULAIRE,CONGRÈS - SYMPOSIUM
ACTUALITES B+L EN SURFACE OCULAI,CONGRÈS - SYMPOSIUM
ACTUALITES EN CONTRACEPTION,CONGRÈS - SYMPOSIUM
ACTUALITES EN CONTRACEPTION ORALE,CONGRÈS - SYMPOSIUM
ACTUALITES EN GYNECOLOGIE,CONGRÈS - SYMPOSIUM
ACTUALITES EN MENOPAUSE,CONGRÈS - SYMPOSIUM
ACTUALITES EN RHUMATOLOGIE RP_DINER,CONGRÈS - SYMPOSIUM
ACTUALITES MEDICALES DE LA TOXINE BOTULIQUE EN 2013,CONGRÈS - SYMPOSIUM
ACTUALITÉS EN IMAGERIE DU CUR ET DE LA PROSTATE - ROYAT,CONGRÈS - SYMPOSIUM
ACTUALITÉS EN IMAGERIE TDM,CONGRÈS - SYMPOSIUM
ADARPEF,CONGRÈS - SYMPOSIUM
ADF - Dr Hamidou PEC,CONGRÈS - SYMPOSIUM
ADP,CONGRÈS - SYMPOSIUM
ADP définition et prise en charge. Tour de table,CONGRÈS - SYMPOSIUM
ADP en ORL,CONGRÈS - SYMPOSIUM
ADP en Radiothérapie,CONGRÈS - SYMPOSIUM
ADP en hopital de jour,CONGRÈS - SYMPOSIUM
ADP/ORL,CONGRÈS - SYMPOSIUM
ADPC et Pecfent et AlgoED,CONGRÈS - SYMPOSIUM
ADPc /Pecfent,CONGRÈS - SYMPOSIUM
ADPc et Pecfent,CONGRÈS - SYMPOSIUM
ADVISORY BOARD,EXPERT
AECG,CONGRÈS - SYMPOSIUM
AEPC Istanbul - 23-26 mai 2012,CONGRÈS - SYMPOSIUM
AER,CONGRÈS - SYMPOSIUM
AEROL 2013,CONGRÈS - SYMPOSIUM
AESTHETICA 2013,CONGRÈS - SYMPOSIUM
AF Boston 2012,CONGRÈS - SYMPOSIUM
AF Boston Extension 2012,CONGRÈS - SYMPOSIUM
AF SYMPOSIUM 2013,CONGRÈS - SYMPOSIUM
AFC,CONGRÈS - SYMPOSIUM
AFC 2012,CONGRÈS - SYMPOSIUM
AFCE JUIN 2013,CONGRÈS - SYMPOSIUM
AFCE Lyon,CONGRÈS - SYMPOSIUM
AFICARDIO,CONGRÈS - SYMPOSIUM
AFICARDIO/ISRAEL,CONGRÈS - SYMPOSIUM
AFICCT,CONGRÈS - SYMPOSIUM
AFICCT  Nice  31 mai 1er juin 2012,CONGRÈS - SYMPOSIUM
AFICTCV  Hospitalité,HOSPITALITÉ
AFICV,CONGRÈS - SYMPOSIUM
AFICV  Hospitalité,CONGRÈS - SYMPOSIUM
AFID - Dr Bellaiche PEC,CONGRÈS - SYMPOSIUM
AFIINNC - 39ÈME JOURNÉE D'ETUDES,CONGRÈS - SYMPOSIUM
AFJO,CONGRÈS - SYMPOSIUM
AHA / LOS ANGELES,CONGRÈS - SYMPOSIUM
AHA 2012,CONGRÈS - SYMPOSIUM
AHA Los Angeles 3 -7 novembre 2012,CONGRÈS - SYMPOSIUM
AHT Advisory Board Meeting,EXPERT
AJI,CONGRÈS - SYMPOSIUM
ALGO ED,CONGRÈS - SYMPOSIUM
ANACONDA - HOSPITALITE,HOSPITALITÉ
ANALYSE DU FRAX RP_DINER,HOSPITALITÉ
ANARLF 2012,CONGRÈS - SYMPOSIUM
ANIMATION D'UNE RÉUNION SCIENTIFIQUE ET MÉDICALE: INTERPRÉTATION DE RADIOS PULMONAIRES - BPCO,ORATEUR/FORMATEUR
ANIMATION RÉUNION : ACTUALITÉS EN PNEUMOLOGIE - BPCO,ORATEUR/FORMATEUR
ANIMATION RÉUNION SUR LA PRISE EN CHARGE DE LA BPCO,ORATEUR/FORMATEUR
ANIMATION RÉUNION: BPCO DU VISIBLE À L'INVISIBLE,ORATEUR/FORMATEUR
ANIMATION RÉUNION: BPCO ET APNÉE DU SOMMEIL,ORATEUR/FORMATEUR
ANNUAL PANCREAS CLUB MEETING,CONGRÈS - SYMPOSIUM
ANOCEF,CONGRÈS - SYMPOSIUM
ANTECHO,CONGRÈS - SYMPOSIUM
AOLF,CONGRÈS - SYMPOSIUM
AOP 2012,CONGRÈS - SYMPOSIUM
AORTHOUS - HOSPITALITE,HOSPITALITÉ
AORTIC SYMPOSIUM,CONGRÈS - SYMPOSIUM
AORTIC SYMPOSIUM JUIN 2013,CONGRÈS - SYMPOSIUM
AORTIC VALVE REPAIR,CONGRÈS - SYMPOSIUM
AORTNEWY - HOSPITALITE,HOSPITALITÉ
APODEP 2013,CONGRÈS - SYMPOSIUM
APPAC 2013,CONGRÈS - SYMPOSIUM
APPAC Biarritz 6-8 juin 2012,CONGRÈS - SYMPOSIUM
APPAC Biarritz 68 juin 2012,CONGRÈS - SYMPOSIUM
ARVO 2012,CONGRÈS - SYMPOSIUM
ARVO 2013,CONGRÈS - SYMPOSIUM
ARiA Symposium,CONGRÈS - SYMPOSIUM
AS New York - 26 avril 27 avril 2012,CONGRÈS - SYMPOSIUM
AS New York - AATS San Francisco 26 avril 2 mai,CONGRÈS - SYMPOSIUM
ASCO,CONGRÈS - SYMPOSIUM
ASCO Chicago,CONGRÈS - SYMPOSIUM
ASCO GI 2013,CONGRÈS - SYMPOSIUM
ASCO GU,CONGRÈS - SYMPOSIUM
ASCRS 2012,CONGRÈS - SYMPOSIUM
ASCRS 2013,CONGRÈS - SYMPOSIUM
ASCRS SAN FRANCISCO,CONGRÈS - SYMPOSIUM
ASCVTS,CONGRÈS - SYMPOSIUM
ASCVTS Bali 8-11.03.2012,CONGRÈS - SYMPOSIUM
ASN SAN DIEGO,CONGRÈS - SYMPOSIUM
ASPECTS PRATIQUES DE LA GYNECOLOGIE CHEZ LA FEMME EN AGE DE PROCREER,CONGRÈS - SYMPOSIUM
ASSISES NANCY,CONGRÈS - SYMPOSIUM
ATC 2013,CONGRÈS - SYMPOSIUM
ATELENDO - HOSPITALITE,HOSPITALITÉ
ATELIER 16/05/13 CHU RANGUEIL  TOULOUSE,CONGRÈS - SYMPOSIUM
ATELIER ACTUALITÉS EN IMAGERIE TDM / IRM,CONGRÈS - SYMPOSIUM
ATELIER BORDEAUX,CONGRÈS - SYMPOSIUM
ATELIER DE FORMATION,FORMATION
ATELIER DECHOGRAPHIE DE CONTRASTE EN PATHOLOGIE HEPATIQUE - PARIS,CONGRÈS - SYMPOSIUM
ATELIER DÉCHOGRAPHIE DE CONTRASTE EN PATHOLOGIE HÉPATIQUE - PARIS,CONGRÈS - SYMPOSIUM
ATELIER IMAGERIE 2013 CH LYON SUD,CONGRÈS - SYMPOSIUM
ATELIER IRM CARDIAQUE PARIS,CONGRÈS - SYMPOSIUM
ATELIER IRM COCHIN,CONGRÈS - SYMPOSIUM
ATELIER IRM ET SCANNER DE PERFUSION DANS LA PATHOLOGIE DU SYSTEME NERVEUX CENTRAL - RENNES,CONGRÈS - SYMPOSIUM
ATELIER IRM ET SCANNER DE PERFUSION DANS LA PATHOLOGIE DU SYSTÈME NERVEUX CENTRAL - RENNES,CONGRÈS - SYMPOSIUM
ATELIER IRM ET URGENCES NEUROLOGIQUES - TOULOUSE,CONGRÈS - SYMPOSIUM
ATELIER LA SUBSTANCE BLANCHE :  TRUCS ET ASTUCES - STRASBOURG,CONGRÈS - SYMPOSIUM
"ATELIER LES 50 DIAGNOSTICS, PROTOCOLES ET CONDUITES À TENIR À CONNAÎTRE EN NEURORADIOLOGIE - LYON",CONGRÈS - SYMPOSIUM
ATELIER MONTPELLIER,CONGRÈS - SYMPOSIUM
ATELIER PITIE SALPETRIERE,CONGRÈS - SYMPOSIUM
ATELIER QUOI DE NEUF EN IMAGERIE IRM GYNECOLOGIQUE ? - PARIS,CONGRÈS - SYMPOSIUM
ATELIER QUOI DE NEUF EN IMAGERIE IRM GYNÉCOLOGIQUE ? - PARIS,CONGRÈS - SYMPOSIUM
ATELIER ROYAT,CONGRÈS - SYMPOSIUM
ATELIER SIAD,CONGRÈS - SYMPOSIUM
ATELIER SIMS SAINT ETIENNE,CONGRÈS - SYMPOSIUM
ATELIER d'Imagerie CHU Rangueil,CONGRÈS - SYMPOSIUM
ATELIER ÉTAT DE LART EN IRM DU SEIN - PARIS,CONGRÈS - SYMPOSIUM
ATELIERS D'IRM VISCERALE CHU NANCY BRABOIS,CONGRÈS - SYMPOSIUM
ATELIERS DU CFA CONGRES_NATIONAL,CONGRÈS - SYMPOSIUM
ATELIERS PRATIQUES ECHOGRAPHIE EN GYNECOLOGIE,CONGRÈS - SYMPOSIUM
ATRIAL FIBRILLATION SYMPOSIUM AFIB,CONGRÈS - SYMPOSIUM
ATS 2013 - Philadelphie,CONGRÈS - SYMPOSIUM
ATTD 2013,CONGRÈS - SYMPOSIUM
ATVB - HOSPITALITE,HOSPITALITÉ
AUA,CONGRÈS - SYMPOSIUM
AUCUNE CONVENTION,DIVERS
AUDITEUR - 10EME JOURNEE FRANCAISE DE L'HTAP - PARIS DU 06 AU 07 DECEMBRE 2012,CONGRÈS - SYMPOSIUM
AUDITEUR - 11TH INTERNATIONAL PULMONARY HYPERTENSION FORUM - DUBLIN DU 11 AU 13 MAI 2012,CONGRÈS - SYMPOSIUM
AUDITEUR - 12EMES ATELIERS FRANCOPHONES DE LA SCLERODERMIE SYSTEMIQUE - PARIS DU 09 AU 10 MAI 2012,CONGRÈS - SYMPOSIUM
