node1,node2,weight
B. Braun Avitum,STALLERGENES,1
B. Braun Avitum,M3 Global Research,1
B. Braun Avitum,A A,1
B. Braun Avitum,MAQUET,1
B. Braun Avitum,ABBOTT,3
B. Braun Avitum,Alexion Pharma,5
B. Braun Avitum,IPSEN PHARMA,1
B. Braun Avitum,ENDOLOGIX,1
B. Braun Avitum,ICON CLINICAL RESEARCH,1
B. Braun Avitum,HEMOTECH,47
B. Braun Avitum,VASCUTEK,1
B. Braun Avitum,PIERRE FABRE,3
B. Braun Avitum,AMGEN,61
B. Braun Avitum,PROSTRAKAN PHARMA,1
B. Braun Avitum,MUNDIPHARMA,5
B. Braun Avitum,ROCHE,50
B. Braun Avitum,MEDTRONIC,4
B. Braun Avitum,GRUNENTHAL,1
B. Braun Avitum,ConsuMed Research,2
B. Braun Avitum,THERADIAL,49
B. Braun Avitum,MEDITOR,37
B. Braun Avitum,BOSTON SCIENTIFIC,2
B. Braun Avitum,TEVA PHARMA,2
B. Braun Avitum,BRISTOL-MYERS SQUIBB,5
B. Braun Avitum,FRESENIUS KABI,2
B. Braun Avitum,Baxter,3
B. Braun Avitum,NIPRO,35
B. Braun Avitum,NOVARTIS PHARMA,55
B. Braun Avitum,ICOMED,24
B. Braun Avitum,DAIICHI SANKYO,27
B. Braun Avitum,PFIZER,5
B. Braun Avitum,GAMBRO,25
B. Braun Avitum,H.A.C.Pharma,1
B. Braun Avitum,LUNDBECK,2
B. Braun Avitum,HEMODIA,1
B. Braun Avitum,Genzyme,25
B. Braun Avitum,COVIDIEN,2
B. Braun Avitum,SIGMA TAU,2
B. Braun Avitum,EXAFIELD,1
B. Braun Avitum,RECORDATI,4
B. Braun Avitum,ACTELION,2
B. Braun Avitum,HEXACATH,1
B. Braun Avitum,MENARINI,1
B. Braun Avitum,THERABEL LUCIEN PHARMA,1
B. Braun Avitum,JANSSEN CILAG,3
B. Braun Avitum,SHIRE S.A.,20
HOSPIRA,Varian Medical Systems,1
HOSPIRA,FRESENIUS MEDICAL CARE,2
HOSPIRA,LFB BIOTECHNOLOGIES,2
HOSPIRA,ABS-BOLTON MEDICAL,1
HOSPIRA,MUNDIPHARMA,28
HOSPIRA,BARD,2
HOSPIRA,ALFA WASSERMANN PHARMA,1
HOSPIRA,Lilly,10
HOSPIRA,ABBVIE,8
HOSPIRA,LIVE ! BY GL EVENTS,1
HOSPIRA,MEDTRONIC,1
HOSPIRA,PRODAREV,1
HOSPIRA,EISAI,5
HOSPIRA,MAYOLY SPINDLER,3
HOSPIRA,PEROUSE MEDICAL,1
HOSPIRA,GRUNENTHAL,7
HOSPIRA,ARIAD Pharmaceuticals,2
HOSPIRA,SANDOZ,7
HOSPIRA,ARCHIMEDES PHARMA,5
HOSPIRA,ICOMED,9
HOSPIRA,CHUGAI PHARMA,9
HOSPIRA,RECORDATI,4
HOSPIRA,PFIZER,27
HOSPIRA,INTERMUNE,1
HOSPIRA,PIERRE FABRE,2
HOSPIRA,THERABEL LUCIEN PHARMA,3
HOSPIRA,Bayer HealthCare,3
HOSPIRA,TAKEDA,8
HOSPIRA,URGO,1
HOSPIRA,VIVACTIS M2RESEARCH,1
HOSPIRA,PROSTRAKAN PHARMA,5
HOSPIRA,ASTRAZENECA,10
HOSPIRA,BIOTRONIK,1
HOSPIRA,ALLERGAN,1
HOSPIRA,SANOFI,34
HOSPIRA,MERCK SERONO,3
HOSPIRA,MEDA PHARMA,3
HOSPIRA,AMO,1
HOSPIRA,ASTELLAS PHARMA,5
HOSPIRA,ZAMBON,2
HOSPIRA,GLAXOSMITHKLINE,30
HOSPIRA,BOEHRINGER INGELHEIM,10
HOSPIRA,Otsuka  Pharmaceutical,1
HOSPIRA,ABBOTT,4
HOSPIRA,ETHICON,1
HOSPIRA,SHIRE S.A.,1
HOSPIRA,ViiV HEALTHCARE,2
HOSPIRA,SERVIER,2
HOSPIRA,Genzyme,2
HOSPIRA,BRISTOL-MYERS SQUIBB,18
HOSPIRA,VIFOR,9
HOSPIRA,CHIESI,3
HOSPIRA,Adept Field Solutions,1
HOSPIRA,GILEAD SCIENCES,3
HOSPIRA,PHARMA DOM,1
HOSPIRA,IPSEN,16
HOSPIRA,LINDE HOMECARE,1
HOSPIRA,ROCHE,31
HOSPIRA,TERUMO S.A,2
HOSPIRA,BOSTON SCIENTIFIC,2
HOSPIRA,LUNDBECK,2
HOSPIRA,FRESENIUS KABI,8
HOSPIRA,NOVARTIS PHARMA,37
HOSPIRA,TEVA PHARMA,15
HOSPIRA,SANOFI PASTEUR,1
HOSPIRA,VITALAIRE,2
HOSPIRA,JANSSEN CILAG,54
HOSPIRA,MSD,22
HOSPIRA,CELGENE,21
HOSPIRA,SORIN GROUP,2
HOSPIRA,Zimmer,1
HOSPIRA,BIOCODEX,1
HOSPIRA,SADIR ASSISTANCE,1
HOSPIRA,GE Medical Systems,1
HOSPIRA,FERRING,2
HOSPIRA,SPECTRUM PHARMACEUTICALS,1
HOSPIRA,MEDEXACT,10
HOSPIRA,AMGEN,38
HOSPIRA,ConsuMed Research,1
HOSPIRA,NOVEX PHARMA,7
HOSPIRA,ASSISTANCES MEDICALES SPECIALISEES,1
HOSPIRA,Biosensors,1
HOSPIRA,A A,5
HOSPIRA,IPSEN PHARMA,4
HOSPIRA,CARL ZEISS MEDITEC,1
HOSPIRA,LEO PHARMA,8
HOSPIRA,SHIRE,2
BRACCO IMAGING,CORREVIO,1
BRACCO IMAGING,COVIDIEN IMAGING,1
BRACCO IMAGING,ICON CLINICAL RESEARCH,1
BRACCO IMAGING,MALLINCKRODT,5
BRACCO IMAGING,ABS-BOLTON MEDICAL,1
BRACCO IMAGING,MUNDIPHARMA,11
BRACCO IMAGING,RESEARCH NOW,16
BRACCO IMAGING,EFFIK,2
BRACCO IMAGING,BARD,64
BRACCO IMAGING,ALFA WASSERMANN PHARMA,4
BRACCO IMAGING,VOLCANO,1
BRACCO IMAGING,LVL MEDICAL,1
BRACCO IMAGING,Lilly,15
BRACCO IMAGING,VEXIM,7
BRACCO IMAGING,ABBVIE,9
BRACCO IMAGING,SAMSUNG ELECTRONICS,4
BRACCO IMAGING,BOSTON SCIENTIFIC,14
BRACCO IMAGING,LIVE ! BY GL EVENTS,1
BRACCO IMAGING,HEMOTECH,1
BRACCO IMAGING,ZAMBON,5
BRACCO IMAGING,BRISTOL-MYERS SQUIBB,14
BRACCO IMAGING,RESMED,2
BRACCO IMAGING,BAYER,8
BRACCO IMAGING,FRESENIUS KABI,1
BRACCO IMAGING,PROFIL ORTHOPEDIE,1
BRACCO IMAGING,PHILIPS,73
BRACCO IMAGING,EVOLUTIS,2
BRACCO IMAGING,VITALITEC,1
BRACCO IMAGING,PHARMATERA,2
BRACCO IMAGING,TEOXANE,1
BRACCO IMAGING,EISAI,5
BRACCO IMAGING,MAYOLY SPINDLER,4
BRACCO IMAGING,FUJIFILM Medical Systems,32
BRACCO IMAGING,PEROUSE MEDICAL,3
BRACCO IMAGING,Otsuka  Pharmaceutical,1
BRACCO IMAGING,IPSEN PHARMA,5
BRACCO IMAGING,EDAP TMS,2
BRACCO IMAGING,SANDOZ,5
BRACCO IMAGING,LINDE,1
BRACCO IMAGING,DJO,1
BRACCO IMAGING,ARCHIMEDES PHARMA,4
BRACCO IMAGING,ICOMED,22
BRACCO IMAGING,CHUGAI PHARMA,4
BRACCO IMAGING,PFIZER,42
BRACCO IMAGING,KEOCYT,1
BRACCO IMAGING,RECORDATI,12
BRACCO IMAGING,INTERMUNE,2
BRACCO IMAGING,PIERRE FABRE,16
BRACCO IMAGING,GENOMIC HEALTH,1
BRACCO IMAGING,Cyberonics,2
BRACCO IMAGING,Bayer HealthCare,68
BRACCO IMAGING,Theramex SAM,5
BRACCO IMAGING,ROTTAPHARM,4
BRACCO IMAGING,Leurquin Mediolanum,2
BRACCO IMAGING,ST JUDE MEDICAL,10
BRACCO IMAGING,URGO,1
BRACCO IMAGING,FH ORTHOPEDICS,1
BRACCO IMAGING,PROSTRAKAN PHARMA,1
BRACCO IMAGING,ASTRAZENECA,42
BRACCO IMAGING,IP Santé domicile,1
BRACCO IMAGING,BIOTRONIK,5
BRACCO IMAGING,ALLERGAN,12
BRACCO IMAGING,EDWARDS LIFESCIENCES,13
BRACCO IMAGING,SANOFI,79
BRACCO IMAGING,MERCK SERONO,6
BRACCO IMAGING,CELGENE,2
BRACCO IMAGING,STENTYS,2
BRACCO IMAGING,MEDACTA,4
BRACCO IMAGING,MEDA PHARMA,1
BRACCO IMAGING,AMO,3
BRACCO IMAGING,CELONOVA BIOSCIENCES OF EUROPE,1
BRACCO IMAGING,TRB CHEMEDICA,2
BRACCO IMAGING,HOSPIDOM,1
BRACCO IMAGING,ASTELLAS PHARMA,2
BRACCO IMAGING,ORMCO,1
BRACCO IMAGING,GLAXOSMITHKLINE,60
BRACCO IMAGING,BOEHRINGER INGELHEIM,46
BRACCO IMAGING,Asept InMed,1
BRACCO IMAGING,Cook,10
BRACCO IMAGING,PECH CERCIAT,1
BRACCO IMAGING,GUERBET,304
BRACCO IMAGING,EXPANSCIENCE,6
BRACCO IMAGING,ABBOTT,8
BRACCO IMAGING,BOIRON,2
BRACCO IMAGING,ETHICON,3
BRACCO IMAGING,OMEGA PHARMA,4
BRACCO IMAGING,SYNTHES,1
BRACCO IMAGING,HEXACATH,8
BRACCO IMAGING,SOS OXYGENE,1
BRACCO IMAGING,NOVO NORDISK,2
BRACCO IMAGING,PRECIPHAR,7
BRACCO IMAGING,APTALIS PHARMA,1
BRACCO IMAGING,COSMETIQUE ACTIVE,1
BRACCO IMAGING,THERABEL LUCIEN PHARMA,4
BRACCO IMAGING,ARTHREX,1
BRACCO IMAGING,BIOGARAN,1
BRACCO IMAGING,SERVIER,41
BRACCO IMAGING,TERUMO,1
BRACCO IMAGING,Amplifon Groupe,1
BRACCO IMAGING,Genzyme,5
BRACCO IMAGING,MINVASYS,2
BRACCO IMAGING,VIFOR,1
BRACCO IMAGING,NORGINE PHARMA,1
BRACCO IMAGING,horus pharma,3
BRACCO IMAGING,ABBOTT PRODUCTS,2
BRACCO IMAGING,CENTRALE DES PEELINGS,1
BRACCO IMAGING,CHIESI,5
BRACCO IMAGING,LABCATAL,5
BRACCO IMAGING,LFB BIOMEDICAMENTS,2
BRACCO IMAGING,THEA,1
BRACCO IMAGING,SOS MEDICAL,1
BRACCO IMAGING,Smith & Nephew,2
BRACCO IMAGING,EOS IMAGING,5
BRACCO IMAGING,PHADIA,1
BRACCO IMAGING,GENEVRIER,2
BRACCO IMAGING,GILEAD SCIENCES,1
BRACCO IMAGING,PHARMA DOM,1
BRACCO IMAGING,IPSEN,25
BRACCO IMAGING,FOURNITURES HOSPITALIERES,1
BRACCO IMAGING,FCI,3
BRACCO IMAGING,ORPHAN EUROPE,1
BRACCO IMAGING,UCB Pharma,2
BRACCO IMAGING,LUNDBECK,11
BRACCO IMAGING,laboratoire BAUSCH&LOMB,2
BRACCO IMAGING,ROCHE,31
BRACCO IMAGING,IPRAD PHARMA,1
BRACCO IMAGING,TERUMO S.A,13
BRACCO IMAGING,GAMIDA,1
BRACCO IMAGING,MERZ PHARMA,2
BRACCO IMAGING,BALT,2
BRACCO IMAGING,PRIMAX,9
BRACCO IMAGING,BIOMET,4
BRACCO IMAGING,DES GRANIONS,1
BRACCO IMAGING,NOVARTIS PHARMA,90
BRACCO IMAGING,Devicor Medical,3
BRACCO IMAGING,TEVA PHARMA,12
BRACCO IMAGING,COVIDIEN,17
BRACCO IMAGING,SANOFI PASTEUR,1
BRACCO IMAGING,JALDES,1
BRACCO IMAGING,Beiersdorf s.a.s,1
BRACCO IMAGING,Doliage,3
BRACCO IMAGING,JANSSEN CILAG,47
BRACCO IMAGING,ARGON MEDICAL DEVICES,3
BRACCO IMAGING,A A,1
BRACCO IMAGING,ALCON,1
BRACCO IMAGING,EUROPHTA,1
BRACCO IMAGING,MICROVENTION,8
BRACCO IMAGING,TOSHIBA MEDICAL,37
BRACCO IMAGING,Edwards,1
BRACCO IMAGING,ZYDUS,1
BRACCO IMAGING,B.BRAUN,4
BRACCO IMAGING,MSD,28
BRACCO IMAGING,DRAGER MEDICAL,1
BRACCO IMAGING,CORDIS,1
BRACCO IMAGING,EUMEDICA,1
BRACCO IMAGING,MYLAN,1
BRACCO IMAGING,MEDIVAL OUTRE-MER,3
BRACCO IMAGING,KRKA EURL,1
BRACCO IMAGING,Zimmer,1
BRACCO IMAGING,BIOCODEX,8
BRACCO IMAGING,ALK-Abello,4
BRACCO IMAGING,SUPERSONIC IMAGINE,1
BRACCO IMAGING,BIOGEN IDEC,15
BRACCO IMAGING,MATHYS ORTHOPEDIE,1
BRACCO IMAGING,GE Medical Systems,118
BRACCO IMAGING,FERRING,10
BRACCO IMAGING,W L GORE & ASSOCIES,1
BRACCO IMAGING,GE HEALTHCARE,82
BRACCO IMAGING,MEDEXACT,1
BRACCO IMAGING,Sequent Medical,1
BRACCO IMAGING,AUDIKA,1
BRACCO IMAGING,AMGEN,8
BRACCO IMAGING,Agfa HealthCare,11
BRACCO IMAGING,MEDTRONIC,21
BRACCO IMAGING,GEDEON RICHTER,2
BRACCO IMAGING,STALLERGENES,3
BRACCO IMAGING,NOVEX PHARMA,3
BRACCO IMAGING,DAIICHI SANKYO,22
BRACCO IMAGING,SORIN GROUP,1
BRACCO IMAGING,GRUNENTHAL,15
BRACCO IMAGING,SIEMENS,20
BRACCO IMAGING,AEPODIA SA,1
BRACCO IMAGING,CARL ZEISS MEDITEC,2
BRACCO IMAGING,VASCUTEK,1
BRACCO IMAGING,LEO PHARMA,13
BRACCO IMAGING,TAKEDA,19
BRACCO IMAGING,ACTELION,6
BRACCO IMAGING,MENARINI,7
BRACCO IMAGING,EUROSILICONE,4
BRACCO IMAGING,ALERE,1
RESEARCH NOW,LFB BIOTECHNOLOGIES,5
RESEARCH NOW,ALFA WASSERMANN PHARMA,29
RESEARCH NOW,BOSTON SCIENTIFIC,19
RESEARCH NOW,HOSPAL,7
RESEARCH NOW,LISSAC ENSEIGNE,1
RESEARCH NOW,RESMED,14
RESEARCH NOW,IMPLANET,1
RESEARCH NOW,BAUSCH LOMB,3
RESEARCH NOW,VASCUTEK,1
RESEARCH NOW,Cook,1
RESEARCH NOW,NOVO NORDISK,42
RESEARCH NOW,GC,1
RESEARCH NOW,ASPIDE MEDICAL,2
RESEARCH NOW,DJO,5
RESEARCH NOW,ARCHIMEDES PHARMA,15
RESEARCH NOW,ADDMEDICA,1
RESEARCH NOW,KYD ORTHOPEDIE,3
RESEARCH NOW,INTERMUNE,2
RESEARCH NOW,Theramex SAM,58
RESEARCH NOW,ROTTAPHARM,59
RESEARCH NOW,MENARINI,100
RESEARCH NOW,ST JUDE MEDICAL,15
RESEARCH NOW,SPIRIG,1
RESEARCH NOW,3M,1
RESEARCH NOW,ALLERGAN,48
RESEARCH NOW,EDWARDS LIFESCIENCES,9
RESEARCH NOW,EDITION DE L'INTERLIGNE,1
RESEARCH NOW,MERCK SERONO,15
RESEARCH NOW,CHAUVIN,7
RESEARCH NOW,MEDACTA,12
RESEARCH NOW,ASTELLAS PHARMA,80
RESEARCH NOW,Otsuka  Pharmaceutical,1
RESEARCH NOW,PECH CERCIAT,32
RESEARCH NOW,EXPANSCIENCE,47
RESEARCH NOW,ETHICON,15
RESEARCH NOW,PRECIPHAR,14
RESEARCH NOW,PHADIA,7
RESEARCH NOW,MEDICAL INNOVATION DEVELOPPEMENT,1
RESEARCH NOW,Axess Research,8
RESEARCH NOW,Orphan,2
RESEARCH NOW,IMS Medical Radar,3
RESEARCH NOW,CELGENE,14
RESEARCH NOW,MOLNLYCKE HEALTH CARE,5
RESEARCH NOW,GANDHOUR,1
RESEARCH NOW,WorldOne Group,3
RESEARCH NOW,CONGRES COLLOQUES CONVENTIONS,24
RESEARCH NOW,IVTEC (Iol Vision Technology),1
RESEARCH NOW,AMPLITUDE,5
RESEARCH NOW,CRISTALENS,3
RESEARCH NOW,BIOTECH ORTHO,1
RESEARCH NOW,STRYKER,8
RESEARCH NOW,Adept Field Solutions,2
RESEARCH NOW,SPINEWAY,1
RESEARCH NOW,MV3,1
RESEARCH NOW,OSTEAL MEDICAL,2
RESEARCH NOW,GILEAD SCIENCES,23
RESEARCH NOW,IPSEN,189
RESEARCH NOW,PRODUITS DENTAIRES PIERRE ROLLAND,1
RESEARCH NOW,SYSMEX,3
RESEARCH NOW,FOURNITURES HOSPITALIERES,30
RESEARCH NOW,FCI,2
RESEARCH NOW,Medtech,1
RESEARCH NOW,WELLSPECT HEALTHCARE,2
RESEARCH NOW,TORNIER,26
RESEARCH NOW,SHIRE,20
RESEARCH NOW,SAM TECHNI-PHARMA,2
RESEARCH NOW,MEDTRONIC,72
RESEARCH NOW,Integra,10
RESEARCH NOW,OptiMed,1
RESEARCH NOW,EXAFIELD,4
RESEARCH NOW,INSTITUT GEORGES LOPEZ,1
RESEARCH NOW,VITALAIRE,7
RESEARCH NOW,LFB BIOMEDICAMENTS,1
RESEARCH NOW,GROUPE LEPINE,4
RESEARCH NOW,Codexial Dermatologie,2
RESEARCH NOW,RE-IMAGINE Health Agency,2
RESEARCH NOW,BIOCODEX,68
RESEARCH NOW,BAYER,36
RESEARCH NOW,The Medicines Company,1
RESEARCH NOW,GE Medical Systems,11
RESEARCH NOW,DEPUY,5
RESEARCH NOW,MAQUET,5
RESEARCH NOW,MEDEXACT,115
RESEARCH NOW,ConsuMed Research,39
RESEARCH NOW,THERADIAL,5
RESEARCH NOW,INTUITIVE SURGICAL,3
RESEARCH NOW,VIVACY,1
RESEARCH NOW,CARL ZEISS MEDITEC,2
RESEARCH NOW,KARL STORZ ENDOSCOPIE,1
RESEARCH NOW,OST DEVELOPPEMENT,1
RESEARCH NOW,All Global,48
RESEARCH NOW,galderma international,5
RESEARCH NOW,ALERE,1
RESEARCH NOW,STETHOS,2
RESEARCH NOW,EFFIK,24
RESEARCH NOW,LABORATOIRE CHAUVIN,8
RESEARCH NOW,NESTLE HOMECARE,2
RESEARCH NOW,PRA,1
RESEARCH NOW,AUDITION SANTE,5
RESEARCH NOW,PHILIPS,14
RESEARCH NOW,PHARMATERA,28
RESEARCH NOW,TEOXANE,1
RESEARCH NOW,FUJIFILM Medical Systems,3
RESEARCH NOW,PEROUSE MEDICAL,2
RESEARCH NOW,GRUNENTHAL,94
RESEARCH NOW,FISHER & PAYKEL HEALTHCARE,2
RESEARCH NOW,BioAlliance Pharma,1
RESEARCH NOW,NIPRO,9
RESEARCH NOW,ICOMED,525
RESEARCH NOW,NUTRICIA Nutrition Clinique,3
RESEARCH NOW,CHUGAI PHARMA,27
RESEARCH NOW,RECORDATI,146
RESEARCH NOW,Health Advances,1
RESEARCH NOW,STARKEY,3
RESEARCH NOW,PIERRE FABRE,216
RESEARCH NOW,ASTON MEDICAL,6
RESEARCH NOW,VIVACTIS M2RESEARCH,2
RESEARCH NOW,SANOFI,405
RESEARCH NOW,ALMIRALL,3
RESEARCH NOW,PROTHEOS,7
RESEARCH NOW,GAMBRO HOSPAL,2
RESEARCH NOW,ZAMBON,78
RESEARCH NOW,BOEHRINGER INGELHEIM,232
RESEARCH NOW,ATOS MEDICAL,2
RESEARCH NOW,GUERBET,18
RESEARCH NOW,Johnson et Johnson Santé Beauté,2
RESEARCH NOW,ABBOTT,75
RESEARCH NOW,Medicare-HTM,2
RESEARCH NOW,SHIRE S.A.,13
RESEARCH NOW,In2Bones,1
RESEARCH NOW,MEDITOR,5
RESEARCH NOW,APTALIS PHARMA,14
RESEARCH NOW,ARTHREX,13
RESEARCH NOW,COOPERVISION,5
RESEARCH NOW,ViiV HEALTHCARE,9
RESEARCH NOW,EFFICARE,1
RESEARCH NOW,SERVIER,324
RESEARCH NOW,Bayer HealthCare,124
RESEARCH NOW,AMERICAN MEDICAL SYSTEMS,2
RESEARCH NOW,NORGINE PHARMA,2
RESEARCH NOW,horus pharma,11
RESEARCH NOW,LABCATAL,13
RESEARCH NOW,NORDIC PHARMA,3
RESEARCH NOW,CONVATEC,17
RESEARCH NOW,IMPLANTS SERVICE ORTHOPEDIE,3
RESEARCH NOW,ORTHO JET,1
RESEARCH NOW,SIGVARIS,3
RESEARCH NOW,ORPHAN EUROPE,2
RESEARCH NOW,C@RDISTIM,1
RESEARCH NOW,SYMBIOS,3
RESEARCH NOW,RB Pharmaceuticals,9
RESEARCH NOW,Bastide Le Confort Médical,3
RESEARCH NOW,ROCHE DIAGNOSTICS,12
RESEARCH NOW,MERZ PHARMA,13
RESEARCH NOW,GLocal Mind,3
RESEARCH NOW,BIOMET,20
RESEARCH NOW,FRESENIUS KABI,2
RESEARCH NOW,VIGIE Pharma,2
RESEARCH NOW,HEXACATH,3
RESEARCH NOW,JANSSEN CILAG,193
RESEARCH NOW,VEXIM,7
RESEARCH NOW,MAPI,1
RESEARCH NOW,EUROPHTA,4
RESEARCH NOW,GaldermaQMed,2
RESEARCH NOW,UCB Pharma,33
RESEARCH NOW,EXACTECH,3
RESEARCH NOW,MYLAN,2
RESEARCH NOW,COLLIN,1
RESEARCH NOW,BIOGEN IDEC,17
RESEARCH NOW,Ophtalmic Compagnie,4
RESEARCH NOW,MATHYS ORTHOPEDIE,6
RESEARCH NOW,GE HEALTHCARE,10
RESEARCH NOW,HD MEDICAL,1
RESEARCH NOW,DINNO SANTE,3
RESEARCH NOW,AUDIKA,4
RESEARCH NOW,INTEGRAL ORTHO,1
RESEARCH NOW,ELIA MEDICAL,2
RESEARCH NOW,Genactis,2
RESEARCH NOW,GEDEON RICHTER,9
RESEARCH NOW,STALLERGENES,14
RESEARCH NOW,ASSISTANCES MEDICALES SPECIALISEES,3
RESEARCH NOW,GAMBRO,2
RESEARCH NOW,ISIS,4
RESEARCH NOW,Small Bone Innovations,8
RESEARCH NOW,AIR SANTE,1
RESEARCH NOW,BARD,15
RESEARCH NOW,Lilly,140
RESEARCH NOW,MENE ET MOY,6
RESEARCH NOW,BOIRON,16
RESEARCH NOW,GROUPE SEBBIN,1
RESEARCH NOW,VIROPHARMA,4
RESEARCH NOW,GLAXOSMITHKLINE,330
RESEARCH NOW,PROFIL ORTHOPEDIE,2
RESEARCH NOW,EVOLUTIS,4
RESEARCH NOW,EISAI,6
