LABO,DEPARTEMENT,NB TOTAL CONVENTIONS + AVANTAGES,NB CONVENTIONS,NB AVANTAGES,MONTANT AVANTAGES
Genzyme,21,70,32,38,13127
Genzyme,47,11,4,7,2131
Genzyme,89,9,4,5,1163
Genzyme,92,181,46,135,101411
Genzyme,87,102,48,54,6521
Genzyme,45,42,7,35,7071
Genzyme,10,4,0,4,129
Genzyme,46,9,4,5,1446
Genzyme,43,4,2,2,783
Genzyme,01,13,6,7,1221
Genzyme,30,35,13,22,5222
Genzyme,08,8,5,3,138
Genzyme,76,184,37,147,24390
Genzyme,78,109,25,84,13877
Genzyme,85,15,4,11,3510
Genzyme,17,20,6,14,4193
Genzyme,05,8,3,5,172
Genzyme,22,15,4,11,10292
Genzyme,97,171,25,146,16437
Genzyme,23,4,2,2,1800
Genzyme,12,49,22,27,2133
Genzyme,70,20,10,10,3918
Genzyme,57,128,28,100,7810
Genzyme,31,172,69,103,30711
Genzyme,41,19,5,14,3649
Genzyme,20,31,3,28,5064
Genzyme,72,36,14,22,1949
Genzyme,39,13,7,6,415
Genzyme,69,293,103,190,53888
Genzyme,16,16,7,9,3022
Genzyme,19,31,13,18,1725
Genzyme,59,149,61,88,35653
Genzyme,63,86,24,62,23949
Genzyme,53,6,2,4,941
Genzyme,65,3,1,2,1186
Genzyme,62,48,12,36,8070
Genzyme,50,8,4,4,4174
Genzyme,27,6,1,5,327
Genzyme,95,92,14,78,11672
Genzyme,49,66,26,40,13129
Genzyme,86,59,29,30,12690
Genzyme,13,257,86,171,46268
Genzyme,88,8,2,6,227
Genzyme,03,39,10,29,12575
Genzyme,24,9,2,7,3056
Genzyme,28,12,2,10,1429
Genzyme,90,15,7,8,682
Genzyme,67,137,40,97,53698
Genzyme,51,155,73,82,18106
Genzyme,37,55,27,28,16299
Genzyme,64,41,11,30,14460
Genzyme,09,2,1,1,55
Genzyme,44,91,41,50,15815
Genzyme,25,73,31,42,6542
Genzyme,26,27,8,19,7939
Genzyme,66,13,6,7,1764
Genzyme,32,15,6,9,10295
Genzyme,55,2,1,1,45
Genzyme,35,83,38,45,18116
Genzyme,33,100,43,57,77741
Genzyme,42,84,34,50,13091
Genzyme,02,20,10,10,8031
Genzyme,29,50,19,31,8822
Genzyme,NC,300,66,234,27610
DEFI ORTHO,86,2,0,2,62
DEFI ORTHO,56,3,0,3,97
PROFIL ORTHOPEDIE,88,3,0,3,165
PROFIL ORTHOPEDIE,57,49,0,49,2636
PROFIL ORTHOPEDIE,71,4,0,4,179
PROFIL ORTHOPEDIE,54,34,0,34,1670
PROFIL ORTHOPEDIE,21,33,0,33,1410
PROFIL ORTHOPEDIE,67,32,0,32,1510
PROFIL ORTHOPEDIE,51,12,0,12,568
PROFIL ORTHOPEDIE,69,1,0,1,10
PROFIL ORTHOPEDIE,39,3,0,3,125
PROFIL ORTHOPEDIE,89,3,0,3,141
PROFIL ORTHOPEDIE,68,44,0,44,2823
PROFIL ORTHOPEDIE,30,1,0,1,72
PROFIL ORTHOPEDIE,25,15,0,15,557
PROFIL ORTHOPEDIE,58,1,0,1,39
PROFIL ORTHOPEDIE,10,1,0,1,52
PROFIL ORTHOPEDIE,45,4,0,4,396
PROFIL ORTHOPEDIE,18,1,0,1,66
PROFIL ORTHOPEDIE,55,1,0,1,72
ZOLL Médical,44,2,0,2,85
ZOLL Médical,26,33,0,33,584
ZOLL Médical,02,31,0,31,465
ZOLL Médical,74,1,0,1,23
ZOLL Médical,93,1,0,1,15
ZOLL Médical,84,1,0,1,17
ZOLL Médical,75,9,0,9,689
INNOTHERA,48,20,0,20,537
INNOTHERA,36,1,0,1,20
INNOTHERA,60,35,0,35,651
INNOTHERA,38,76,0,76,2654
INNOTHERA,77,47,0,47,2645
INNOTHERA,84,50,0,50,1179
INNOTHERA,71,38,0,38,820
INNOTHERA,81,4,0,4,106
INNOTHERA,14,6,0,6,411
INNOTHERA,56,77,0,77,1752
INNOTHERA,40,16,0,16,436
INNOTHERA,80,34,0,34,900
INNOTHERA,18,1,0,1,12
INNOTHERA,61,47,0,47,1219
INNOTHERA,34,75,1,74,1839
INNOTHERA,73,47,0,47,866
INNOTHERA,75,52,0,52,1158
INNOTHERA,11,14,0,14,258
INNOTHERA,94,56,0,56,985
INNOTHERA,74,14,0,14,381
INNOTHERA,06,44,0,44,1081
INNOTHERA,58,9,0,9,169
INNOTHERA,79,9,0,9,156
INNOTHERA,15,4,0,4,98
INNOTHERA,68,53,0,53,773
INNOTHERA,07,9,0,9,165
INNOTHERA,83,83,0,83,1788
INNOTHERA,92,54,0,54,3192
INNOTHERA,89,12,0,12,225
INNOTHERA,98,2,0,2,34
INNOTHERA,87,45,0,45,583
INNOTHERA,21,40,0,40,686
INNOTHERA,54,90,0,90,1720
INNOTHERA,93,44,0,44,1821
INNOTHERA,91,19,0,19,326
INNOTHERA,47,6,0,6,91
INNOTHERA,17,52,0,52,1022
INNOTHERA,85,56,0,56,921
INNOTHERA,78,69,0,69,2547
INNOTHERA,76,94,0,94,1518
INNOTHERA,05,7,0,7,229
INNOTHERA,22,50,0,50,1245
INNOTHERA,43,2,0,2,40
INNOTHERA,10,17,0,17,244
INNOTHERA,45,23,0,23,284
INNOTHERA,08,6,0,6,72
INNOTHERA,30,120,0,120,2083
INNOTHERA,01,46,0,46,1173
INNOTHERA,72,49,0,49,1180
INNOTHERA,39,19,0,19,350
INNOTHERA,20,11,0,11,650
INNOTHERA,41,12,0,12,160
INNOTHERA,16,14,0,14,246
INNOTHERA,69,232,0,232,11212
INNOTHERA,70,5,0,5,62
INNOTHERA,12,50,0,50,1056
INNOTHERA,31,55,0,55,1439
INNOTHERA,57,196,0,196,4853
INNOTHERA,65,33,0,33,437
INNOTHERA,62,63,0,63,1383
INNOTHERA,53,48,0,48,1187
INNOTHERA,50,19,0,19,522
INNOTHERA,19,4,0,4,92
INNOTHERA,63,12,0,12,297
INNOTHERA,59,238,0,238,5200
INNOTHERA,90,4,0,4,48
INNOTHERA,24,11,0,11,243
INNOTHERA,28,5,0,5,74
INNOTHERA,03,30,0,30,480
INNOTHERA,64,110,0,110,3490
INNOTHERA,37,25,0,25,581
INNOTHERA,67,180,0,180,5648
INNOTHERA,51,77,0,77,2069
INNOTHERA,52,10,0,10,150
INNOTHERA,86,55,0,55,864
INNOTHERA,49,56,0,56,1418
INNOTHERA,95,26,0,26,517
INNOTHERA,27,1,0,1,20
INNOTHERA,88,56,0,56,1472
INNOTHERA,13,73,0,73,1498
INNOTHERA,33,69,1,68,1782
INNOTHERA,55,3,0,3,50
INNOTHERA,35,77,0,77,1356
INNOTHERA,32,2,0,2,32
INNOTHERA,NC,240,0,240,6801
INNOTHERA,29,55,0,55,766
INNOTHERA,02,51,0,51,807
INNOTHERA,42,82,0,82,2691
INNOTHERA,09,1,0,1,12
INNOTHERA,66,13,0,13,551
INNOTHERA,26,16,0,16,316
INNOTHERA,25,11,0,11,228
INNOTHERA,44,72,0,72,1732
BALT,94,10,0,10,406
BALT,75,5,0,5,100
BALT,54,4,0,4,46
BALT,21,22,0,22,610
BALT,68,12,0,12,376
BALT,44,8,0,8,2666
BALT,14,4,0,4,246
BALT,37,36,0,36,720
BALT,51,3,0,3,69
BALT,69,12,0,12,564
RADIOMETER,75,20,0,20,692
RADIOMETER,11,1,0,1,800
RADIOMETER,30,6,0,6,130
RADIOMETER,59,2,0,2,38
RADIOMETER,66,2,0,2,53
RADIOMETER,63,2,0,2,43
RADIOMETER,35,1,0,1,25
RADIOMETER,78,2,0,2,829
RADIOMETER,76,3,0,3,131
RADIOMETER,33,1,0,1,30
RADIOMETER,22,2,0,2,76
RADIOMETER,61,1,0,1,800
RADIOMETER,34,4,0,4,95
RADIOMETER,NC,1,0,1,420
RADIOMETER,29,4,4,0,0
RADIOMETER,91,4,0,4,2046
RADIOMETER,95,2,0,2,1380
RADIOMETER,88,6,0,6,421
RADIOMETER,13,5,0,5,1191
RADIOMETER,37,3,0,3,1116
RADIOMETER,67,1,0,1,17
RADIOMETER,38,1,0,1,354
RADIOMETER,52,1,0,1,19
VIFOR,54,89,1,88,4308
VIFOR,21,3,0,3,104
VIFOR,91,7,0,7,385
VIFOR,93,72,0,72,5637
VIFOR,47,10,0,10,358
VIFOR,89,2,0,2,83
VIFOR,98,26,0,26,768
VIFOR,92,87,1,86,5090
VIFOR,04,7,0,7,904
VIFOR,87,2,0,2,49
VIFOR,43,4,0,4,166
VIFOR,10,11,0,11,452
VIFOR,45,60,0,60,2172
VIFOR,08,1,0,1,42
VIFOR,01,2,0,2,256
VIFOR,30,27,0,27,766
VIFOR,85,3,0,3,59
VIFOR,76,30,0,30,1417
VIFOR,78,75,0,75,12436
VIFOR,97,146,0,146,2665
VIFOR,22,10,0,10,361
VIFOR,84,12,0,12,577
VIFOR,71,18,0,18,609
VIFOR,14,6,0,6,132
VIFOR,81,5,0,5,306
VIFOR,56,7,0,7,270
VIFOR,60,14,0,14,1252
VIFOR,77,34,0,34,1207
VIFOR,38,324,0,324,12238
VIFOR,94,113,0,113,12226
VIFOR,11,5,0,5,229
VIFOR,75,223,5,218,16817
VIFOR,74,14,0,14,1027
VIFOR,06,40,0,40,2521
VIFOR,58,11,0,11,671
VIFOR,79,1,0,1,37
VIFOR,83,84,0,84,2113
VIFOR,68,61,0,61,2450
VIFOR,07,1,0,1,20
VIFOR,18,12,0,12,403
VIFOR,80,26,0,26,605
VIFOR,40,15,0,15,796
VIFOR,73,9,0,9,266
VIFOR,34,33,0,33,1371
VIFOR,49,113,1,112,10124
VIFOR,86,87,0,87,8487
VIFOR,27,1,0,1,24
VIFOR,95,25,0,25,1004
VIFOR,88,7,0,7,197
VIFOR,13,181,0,181,11863
VIFOR,24,2,0,2,83
VIFOR,28,27,0,27,752
VIFOR,03,12,0,12,408
VIFOR,64,10,0,10,356
VIFOR,52,3,0,3,185
VIFOR,37,126,0,126,11049
VIFOR,51,69,0,69,8345
VIFOR,67,115,1,114,3490
VIFOR,09,1,0,1,21
VIFOR,66,19,0,19,977
VIFOR,44,164,0,164,10493
VIFOR,25,28,0,28,793
VIFOR,26,16,0,16,610
VIFOR,33,146,0,146,11276
VIFOR,32,7,0,7,620
VIFOR,55,10,0,10,292
VIFOR,35,63,0,63,3162
VIFOR,02,13,0,13,1210
VIFOR,NC,16,0,16,1594
VIFOR,29,22,0,22,4083
VIFOR,42,7,0,7,218
VIFOR,57,110,0,110,4347
VIFOR,31,44,0,44,2626
VIFOR,20,45,0,45,2707
VIFOR,72,26,0,26,1447
VIFOR,39,1,0,1,10
VIFOR,41,8,0,8,343
VIFOR,16,9,0,9,353
VIFOR,69,136,0,136,9520
VIFOR,63,55,0,55,1833
VIFOR,59,130,0,130,9914
VIFOR,62,47,0,47,1358
VIFOR,50,4,0,4,166
SPIRIG,57,1,0,1,14
SPIRIG,13,2,0,2,500
SPIRIG,31,3,0,3,482
SPIRIG,21,1,0,1,19
SPIRIG,69,3,0,3,48
SPIRIG,52,1,0,1,25
SPIRIG,51,1,0,1,12
SPIRIG,67,1,0,1,16
SPIRIG,38,6,0,6,1113
SPIRIG,89,1,0,1,24
SPIRIG,25,1,0,1,24
SPIRIG,59,19,0,19,1043
SPIRIG,30,1,0,1,37
SPIRIG,08,2,0,2,40
SPIRIG,58,5,0,5,85
SPIRIG,06,5,0,5,131
SPIRIG,74,19,0,19,361
SPIRIG,94,1,0,1,51
SPIRIG,75,2,0,2,547
SPIRIG,42,6,0,6,108
SPIRIG,34,7,0,7,116
SPIRIG,18,1,0,1,14
SPIRIG,80,3,0,3,72
SPIRIG,33,10,0,10,3275
SPIRIG,62,3,0,3,87
Ivoclar Vivadent,40,1,0,1,100
Ivoclar Vivadent,73,4,0,4,134
Ivoclar Vivadent,34,12,0,12,349
Ivoclar Vivadent,62,1,0,1,33
Ivoclar Vivadent,63,2,0,2,60
Ivoclar Vivadent,59,7,0,7,243
Ivoclar Vivadent,94,1,0,1,93
Ivoclar Vivadent,75,34,0,34,1083
Ivoclar Vivadent,06,11,0,11,287
Ivoclar Vivadent,74,7,0,7,244
Ivoclar Vivadent,69,22,0,22,569
Ivoclar Vivadent,38,1,0,1,36
Ivoclar Vivadent,72,1,0,1,44
Ivoclar Vivadent,31,2,0,2,146
Ivoclar Vivadent,84,2,0,2,48
Ivoclar Vivadent,42,4,0,4,120
Ivoclar Vivadent,33,11,0,11,286
Ivoclar Vivadent,17,2,0,2,55
Ivoclar Vivadent,32,1,0,1,83
Ivoclar Vivadent,35,6,0,6,588
Ivoclar Vivadent,44,4,0,4,118
Ivoclar Vivadent,26,1,0,1,171
Ivoclar Vivadent,30,4,0,4,327
Ivoclar Vivadent,45,5,0,5,245
Ivoclar Vivadent,10,1,0,1,36
Ivoclar Vivadent,64,1,0,1,21
Ivoclar Vivadent,67,14,0,14,448
Ivoclar Vivadent,51,8,0,8,270
Ivoclar Vivadent,89,1,0,1,171
Ivoclar Vivadent,92,1,0,1,59
Ivoclar Vivadent,88,2,0,2,60
Ivoclar Vivadent,13,33,0,33,1783
Ivoclar Vivadent,54,1,0,1,30
Ivoclar Vivadent,91,1,0,1,15
Laboratoire français du Fractionnement et des Biotechnologies,44,3,0,3,5041
Laboratoire français du Fractionnement et des Biotechnologies,59,1,0,1,15000
Laboratoire français du Fractionnement et des Biotechnologies,55,4,0,4,45000
Laboratoire français du Fractionnement et des Biotechnologies,82,2,0,2,45600
Laboratoire français du Fractionnement et des Biotechnologies,75,6,0,6,33529
Innothera Services,06,1,0,1,110
Innothera Services,18,1,1,0,0
IPSEN INNOVATION,75,8,0,8,848
IPSEN INNOVATION,77,5,0,5,668
IPSEN INNOVATION,69,2,0,2,933
GUERBET,64,335,0,335,85557
GUERBET,52,2,0,2,224
GUERBET,67,41,0,41,13917
GUERBET,37,116,0,116,33870
GUERBET,51,139,1,138,50282
GUERBET,24,22,0,22,7200
GUERBET,28,53,0,53,13770
GUERBET,90,20,1,19,5484
GUERBET,03,44,0,44,10028
GUERBET,88,16,0,16,6937
GUERBET,13,305,0,305,111804
GUERBET,49,48,0,48,7618
GUERBET,86,148,0,148,39387
GUERBET,95,251,0,251,69707
GUERBET,27,48,0,48,15419
GUERBET,02,54,0,54,16443
GUERBET,29,188,0,188,61280
GUERBET,NC,122,0,122,20738
GUERBET,42,69,0,69,25692
GUERBET,33,274,0,274,86211
GUERBET,32,41,0,41,18931
GUERBET,35,57,0,57,19846
GUERBET,66,145,0,145,50920
GUERBET,44,245,2,243,52288
GUERBET,25,140,0,140,36516
GUERBET,26,10,0,10,2191
GUERBET,09,21,0,21,8497
GUERBET,16,36,0,36,18020
GUERBET,69,179,0,179,45133
GUERBET,20,50,0,50,18891
GUERBET,39,52,0,52,20436
GUERBET,72,60,0,60,16027
GUERBET,41,43,0,43,12926
GUERBET,57,84,0,84,28693
GUERBET,31,330,2,328,88457
GUERBET,12,33,0,33,6293
GUERBET,70,17,0,17,3018
GUERBET,23,7,0,7,5986
GUERBET,50,41,0,41,10661
GUERBET,62,956,0,956,313628
GUERBET,65,17,0,17,9272
GUERBET,53,16,0,16,6089
GUERBET,63,68,0,68,27022
GUERBET,59,975,5,970,301206
GUERBET,19,14,0,14,3390
GUERBET,87,89,0,89,19113
GUERBET,04,16,0,16,3776
GUERBET,98,16,0,16,2353
GUERBET,89,44,0,44,11771
GUERBET,92,90,2,88,59895
GUERBET,47,45,0,45,18057
GUERBET,54,124,0,124,33576
GUERBET,21,154,0,154,39053
GUERBET,91,57,0,57,12349
GUERBET,93,326,1,325,121713
GUERBET,97,70,0,70,52001
GUERBET,22,18,0,18,3881
GUERBET,85,43,0,43,13231
GUERBET,17,38,0,38,14411
GUERBET,76,191,0,191,102563
GUERBET,78,190,3,187,59334
GUERBET,08,20,1,19,3546
GUERBET,30,67,0,67,19814
GUERBET,46,33,0,33,9463
GUERBET,43,11,0,11,1943
GUERBET,45,37,0,37,13002
GUERBET,10,28,0,28,6062
GUERBET,77,172,0,172,91019
GUERBET,38,136,1,135,24443
GUERBET,48,4,0,4,96
GUERBET,36,38,0,38,10879
GUERBET,60,350,0,350,93741
GUERBET,14,198,0,198,54953
GUERBET,81,149,1,148,42494
GUERBET,56,25,0,25,8869
GUERBET,71,110,0,110,28848
GUERBET,84,90,0,90,35264
GUERBET,18,58,0,58,18824
GUERBET,80,48,0,48,9221
GUERBET,40,55,0,55,21759
GUERBET,73,25,0,25,8174
GUERBET,61,45,0,45,7595
GUERBET,34,304,0,304,91860
GUERBET,15,21,0,21,537
GUERBET,79,78,0,78,24001
GUERBET,58,43,0,43,12341
GUERBET,83,116,0,116,29398
GUERBET,07,1,0,1,13
GUERBET,68,18,0,18,9211
GUERBET,11,132,0,132,48895
GUERBET,75,788,12,776,268662
GUERBET,94,233,6,227,72049
GUERBET,06,212,0,212,43176
GUERBET,74,26,0,26,6335
GUERBET,82,78,0,78,29995
EISAI,87,1,0,1,18
EISAI,92,94,0,94,6327
EISAI,89,15,0,15,300
EISAI,47,17,0,17,325
EISAI,21,27,3,24,685
EISAI,54,22,0,22,630
EISAI,93,43,0,43,918
EISAI,91,43,0,43,920
EISAI,22,1,0,1,14
EISAI,17,5,0,5,162
EISAI,85,6,0,6,210
EISAI,78,32,6,26,628
EISAI,76,113,0,113,3814
EISAI,30,7,0,7,233
EISAI,43,1,0,1,20
EISAI,46,5,0,5,184
EISAI,45,14,0,14,3409
EISAI,10,1,0,1,3000
EISAI,38,50,0,50,3319
EISAI,77,26,0,26,1957
EISAI,60,4,0,4,99
EISAI,81,3,0,3,87
EISAI,14,2,0,2,80
EISAI,56,9,0,9,195
EISAI,71,46,0,46,2000
EISAI,84,6,0,6,231
EISAI,80,22,0,22,410
EISAI,40,1,0,1,50
EISAI,18,1,0,1,18
EISAI,34,27,0,27,604
EISAI,61,16,3,13,974
EISAI,73,9,0,9,308
EISAI,58,5,1,4,123
EISAI,68,16,0,16,717
EISAI,83,9,0,9,210
EISAI,75,82,0,82,11254
EISAI,94,23,0,23,473
EISAI,74,46,0,46,1092
EISAI,82,3,0,3,63
EISAI,64,31,0,31,816
EISAI,51,1,0,1,13
EISAI,37,31,0,31,537
EISAI,67,5,0,5,866
EISAI,90,2,0,2,40
EISAI,24,6,1,5,166
EISAI,28,5,0,5,65
EISAI,03,1,1,0,0
EISAI,13,126,0,126,8384
EISAI,86,3,0,3,113
EISAI,49,54,0,54,1980
EISAI,95,61,1,60,3641
EISAI,29,21,1,20,661
EISAI,42,2,0,2,80
EISAI,33,11,0,11,1090
EISAI,35,6,0,6,90
EISAI,32,4,0,4,170
EISAI,66,2,0,2,20
EISAI,26,35,0,35,1164
EISAI,25,9,0,9,228
EISAI,44,8,0,8,364
EISAI,69,45,0,45,1301
EISAI,72,4,0,4,134
EISAI,20,6,0,6,131
EISAI,41,1,0,1,35
EISAI,31,91,0,91,5717
EISAI,57,27,0,27,855
EISAI,70,16,0,16,297
EISAI,12,19,0,19,518
EISAI,50,15,1,14,2106
EISAI,65,3,0,3,117
EISAI,62,24,0,24,2307
EISAI,53,2,0,2,56
EISAI,63,10,0,10,246
EISAI,59,37,0,37,1009
ALISEO,61,10,0,10,2082
ALISEO,44,66,3,63,10813
ALISEO,85,10,1,9,1093
ALISEO,72,48,0,48,6969
ALISEO,49,8,0,8,602
ALISEO,76,2,2,0,0
NODEA MEDICAL,75,2,0,2,233
NODEA MEDICAL,69,2,0,2,192
KYD ORTHOPEDIE,82,12,0,12,914
KYD ORTHOPEDIE,11,12,0,12,3211
KYD ORTHOPEDIE,12,25,0,25,956
KYD ORTHOPEDIE,31,40,0,40,3131
KYD ORTHOPEDIE,47,6,0,6,116
KYD ORTHOPEDIE,59,4,0,4,213
KYD ORTHOPEDIE,66,12,0,12,472
KYD ORTHOPEDIE,81,18,0,18,1249
KYD ORTHOPEDIE,32,2,0,2,42
KYD ORTHOPEDIE,65,2,0,2,28
KYD ORTHOPEDIE,33,68,0,68,8802
KYD ORTHOPEDIE,40,2,0,2,106
KYD ORTHOPEDIE,64,60,0,60,4047
THERMO ELECTRON,76,2,0,2,248
THERMO ELECTRON,92,1,0,1,81
THERMO ELECTRON,33,3,0,3,99
THERMO ELECTRON,42,1,0,1,38
THERMO ELECTRON,95,3,0,3,124
THERMO ELECTRON,75,12,0,12,2731
THERMO ELECTRON,13,1,0,1,32
THERMO ELECTRON,63,6,0,6,360
ALSANZA,83,2,0,2,70
ALSANZA,44,1,0,1,20
Merz,95,5,0,5,113
Merz,70,1,0,1,20
Merz,84,11,0,11,201
Merz,57,2,0,2,112
Merz,13,1,0,1,18
Merz,92,7,0,7,126
Merz,24,1,0,1,23
Merz,51,7,0,7,136
Merz,77,1,0,1,20
Merz,45,1,0,1,20
Merz,74,2,0,2,40
Merz,94,5,0,5,93
Merz,75,1,0,1,18
Merz,26,1,0,1,25
Merz,33,6,0,6,154
Merz,NC,6,0,6,120
DJO,50,81,0,81,2391
DJO,65,41,0,41,679
DJO,62,142,2,140,2829
DJO,53,28,0,28,1320
DJO,63,10,0,10,165
DJO,59,141,1,140,2580
DJO,16,28,0,28,546
DJO,69,33,1,32,806
DJO,20,8,0,8,215
DJO,39,18,2,16,320
DJO,72,40,2,38,2302
DJO,41,10,0,10,314
DJO,57,25,1,24,460
DJO,31,226,1,225,5370
DJO,12,29,0,29,571
DJO,70,1,0,1,35
DJO,23,4,1,3,71
DJO,02,9,0,9,90
DJO,29,31,1,30,1086
DJO,42,4,0,4,40
DJO,33,173,1,172,4782
DJO,32,12,0,12,199
DJO,35,66,0,66,1879
DJO,66,123,6,117,3738
DJO,44,8,0,8,268
DJO,26,13,0,13,219
DJO,09,25,2,23,1276
DJO,64,120,0,120,3191
DJO,52,20,0,20,392
DJO,37,5,0,5,190
DJO,67,56,1,55,1219
DJO,28,1,0,1,67
DJO,24,6,0,6,158
DJO,90,9,0,9,99
DJO,03,22,0,22,265
